question,answer,category
"How do I track my order?","Once your order is confirmed, you can track it in real-time from the Pronto app or website. Go to My Orders and tap on the active order to see a live map with your driver's location, estimated arrival time, and order status updates. You'll also receive push notifications at key stages: when the restaurant confirms your order, when the driver picks it up, and when they're approaching your location.",Ordering
"What is Pronto's refund policy?","We want every order to be perfect. If something goes wrong, here's how refunds work: Missing items get a full refund for the missing item(s) plus applicable taxes and fees. Wrong items get a full refund or re-delivery of the correct item at no extra charge. Quality issues receive a partial or full refund depending on the severity, assessed case-by-case. Late delivery (30+ minutes past estimate) gets a service fee refund and a credit toward your next order. Order never arrived gets a full refund of the entire order amount. Refund requests must be submitted within 48 hours of delivery. Refunds are processed to your original payment method within 3-5 business days.",Ordering
"How do I change my delivery address after placing an order?","You can update your delivery address if the restaurant hasn't started preparing your order yet. Go to My Orders, select the active order, and tap Edit Address. If the restaurant has already started preparing your food, address changes may not be possible as it could affect delivery time and driver routing. In that case, contact our support team through the app and we'll do our best to accommodate the change. Note: Changing your address to a location significantly farther away may result in an additional delivery fee.",Delivery
"How does Pronto's pricing work?","Pronto's pricing includes several components: Menu prices are set by the restaurant and some items may differ from in-store pricing. Delivery fee ranges from $0.99 to $7.99 based on distance, demand, and restaurant partnership tier. Service fee is a percentage-based fee (typically 10-15%) that helps cover platform operations. Small order fee of $2.00 applies to orders under $15 to cover delivery costs. Pronto+ members enjoy $0 delivery fees on orders over $20, reduced service fees, and no small order fees. Plans start at $9.99/month.",Ordering
"What is Pronto+ and how do I subscribe?","Pronto+ is our premium membership that saves you money on every order: $0 delivery fee on orders over $20, reduced service fees (5% instead of 10-15%), no small order fees, exclusive member-only promotions and early access to new restaurants, and priority customer support. Pronto+ costs $9.99/month or $96/year (save $24). You can subscribe from your account settings. New members get a free 30-day trial. Cancel anytime with no penalties.",Account
"How do I report a problem with my order?","To report an issue with your order: Open the Pronto app and go to My Orders. Select the order with the issue. Tap Help or Report a Problem. Choose the issue type (missing items, wrong items, quality, etc.). Add details and photos if applicable. Submit your report. Our team reviews reports within 2 hours during business hours. For urgent issues (food safety, allergic reactions), use the emergency contact option for immediate assistance.",Ordering
"How do I place an order on Pronto?","Placing an order on Pronto is simple: Open the Pronto app or visit pronto.com. Enter your delivery address to see available restaurants near you. Browse restaurants or search for a specific cuisine or dish. Select a restaurant and browse their menu. Add items to your cart, customize as needed. Review your cart, apply any promo codes. Choose your payment method and confirm the order. Your order will be sent to the restaurant immediately. You'll receive an estimated delivery time once the restaurant confirms.",Ordering
"Can I schedule an order for later?","Yes! Pronto supports scheduled orders up to 7 days in advance. When placing your order, tap the delivery time at the top of the screen and select Schedule for later. Choose your preferred date and 30-minute delivery window. Scheduled orders are sent to the restaurant at the appropriate time to ensure freshness. You can modify or cancel a scheduled order up to 1 hour before the delivery window.",Ordering
"Can I order from multiple restaurants at once?","Currently, each order is placed with a single restaurant. If you'd like items from multiple restaurants, you'll need to place separate orders. Each order will have its own delivery fee and estimated arrival time. Pronto+ members can use the Group Cart feature to combine orders from up to 3 restaurants within the same delivery zone into a single delivery, with just one delivery fee.",Ordering
"How do I cancel an order?","To cancel an order, go to My Orders, select the active order, and tap Cancel Order. Cancellation policies depend on timing: Before restaurant confirms gets a full refund with no fees. After restaurant confirms but before prep starts gets a full refund minus a $2 cancellation fee. After preparation begins gets a partial refund (50-75%) depending on preparation stage. After driver pickup has no refund available (contact support for exceptions). Frequent cancellations after restaurant confirmation may result in a temporary restriction on your account.",Ordering
"How do I track my delivery in real-time?","Once a driver is assigned to your order, you'll see a live tracking map in the app showing: the driver's real-time location, estimated time of arrival (ETA) updated dynamically, order status (Picking up, On the way, Arriving), and the route the driver is taking. You'll also receive push notifications at key moments: driver assigned, food picked up, driver nearby (2 minutes away), and delivered.",Delivery
"How are delivery times estimated?","Pronto's delivery time estimates are calculated using multiple factors: Restaurant prep time based on the restaurant's historical data and current order volume. Distance including straight-line and actual road distance to your address. Traffic conditions using real-time traffic data for accurate routing. Driver availability based on current supply of drivers in the area. Weather adjusted for rain, snow, or extreme conditions. Average delivery time is 25-45 minutes. During peak hours (11:30am-1:30pm and 5:30pm-8:30pm), times may be 10-15 minutes longer.",Delivery
"What delivery options are available?","Pronto offers several delivery options: Standard delivery in 25-45 minutes with a fee of $0.99-$7.99 based on distance. Priority delivery bumps your order to the front of the queue in 15-30 minutes for an additional $2.99 fee. Scheduled delivery lets you choose a 30-minute window up to 7 days in advance with standard delivery fee. Group order allows multiple people to add items with one delivery, available for teams and families.",Delivery
"Can I get contactless delivery?","Yes! Contactless delivery is available for all orders. At checkout, select Leave at door as your delivery preference. The driver will place your order at your door or specified location, take a photo as proof of delivery, and notify you through the app that your food has arrived. You can add specific instructions like Leave on the porch table or Place by the garage door in the delivery notes field.",Delivery
"How do I contact my delivery driver?","Once a driver is assigned to your order, you can contact them through: In-app chat to send text messages directly (best for delivery instructions or updates), or phone call by tapping the phone icon on the tracking screen (your number is masked for privacy). Communication is available from the moment a driver accepts your order until 30 minutes after delivery. After that, you'll need to contact Pronto support for any issues.",Delivery
"How do I tip my driver?","You can tip your driver at checkout or after delivery. At checkout choose a suggested percentage (15%, 20%, 25%) or enter a custom amount. After delivery you have 2 hours to add or modify your tip based on the delivery experience. 100% of tips go directly to the driver. Tips are not factored into Pronto's delivery fee calculations. The default tip suggestion is 18% of your subtotal.",Delivery
"How do I partner with Pronto as a restaurant?","Joining Pronto as a restaurant partner: Visit pronto.com/merchants and click Get Started. Fill out your business details: name, address, cuisine type, hours. Upload required documents: business license, food safety certification, tax ID. Choose your partnership plan. Set up your menu using our Merchant Portal or menu import tool. Complete a brief onboarding session with your account manager. The full onboarding process typically takes 3-5 business days from application to going live. We'll provide a tablet for order management at no extra cost.",Merchants
"What are Pronto's commission rates for merchants?","Pronto offers three partnership tiers: Basic (15% commission) includes delivery and ordering platform access with standard search results placement. Plus (25% commission) includes featured placement, promotions engine access, branded storefront, and priority driver assignment. Premium (30% commission) includes homepage carousel placement, dedicated account manager, marketing campaigns, and analytics dashboard. Commission is calculated on the food subtotal (before taxes, fees, and tips). You can switch tiers monthly.",Merchants
"How and when do merchants get paid?","Pronto processes merchant payouts on a weekly cycle: Payout schedule is every Monday for the previous week's orders (Monday-Sunday). Payment method is direct deposit to your registered bank account. Processing time is 1-2 business days after payout is initiated. Minimum payout is $25 (balances below this roll over to the next week). You can view detailed payout breakdowns in Merchant Portal > Financials. Premium tier merchants can opt for daily payouts for an additional 1% processing fee.",Merchants
"What payment methods does Pronto accept?","Pronto accepts: Credit/Debit cards (Visa, Mastercard, American Express, Discover), Digital wallets (Apple Pay, Google Pay, PayPal), Pronto Credits earned through referrals and promotions, Gift cards purchased online or at retail partners, and Cash on delivery available in select markets (driver carries change for up to $50). You can save multiple payment methods and set a default. Split payment across two methods is available for orders over $30.",Account
"How long do refunds take to process?","Refund processing times depend on the method: Pronto Credits are instant and available immediately for your next order. Credit/debit card refunds take 3-5 business days to appear on your statement. PayPal takes 1-3 business days. Apple Pay and Google Pay take 3-5 business days (same as underlying card). When eligible for a refund, you'll often be given the choice between instant Pronto Credits (with a 10% bonus) or a refund to your original payment method.",Account
"How do Pronto Credits work?","Pronto Credits are a wallet balance you can use toward any order. Earning credits: Referrals ($10), compensation for issues, promotional rewards, loyalty program redemptions. Using credits: Automatically applied to your next order (or toggle off in payment settings). Expiration: Credits expire 90 days after being issued. Limitations: Cannot be transferred to another account or redeemed for cash. Check your credit balance anytime in Account > Pronto Credits.",Account
"How does Pronto protect my personal data?","Pronto takes data protection seriously: All data is encrypted in transit (TLS 1.3) and at rest (AES-256). Payment security is PCI DSS Level 1 compliant and we never store full card numbers. Phone masking means your real phone number is never shared with drivers. Location data is used only during active deliveries and not sold to third parties. Data minimization means we only collect what's necessary to provide the service.",Account
"How do I cancel my Pronto+ subscription?","To cancel Pronto+: Go to Account > Pronto+ > Manage Subscription. Tap Cancel Subscription. Select a reason (optional). Confirm cancellation. Your benefits continue until the end of your current billing period. You won't be charged again. You can resubscribe anytime, but the free trial is only available once. If you cancel within the first 48 hours of a paid billing cycle, you're eligible for a full refund of that month's charge.",Account
